[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=2.600000e-08 V=+0.050000 | gate_W=0.0000 | r_ref=+208.9623 | R=2.091090e+02 I=2.3927e-04
VALID t=2.700000e-08 V=+0.100000 | gate_W=0.0000 | r_ref=+208.9559 | R=2.093491e+02 I=4.7853e-04
VALID t=2.800000e-08 V=+0.150000 | gate_W=0.0001 | r_ref=+208.9373 | R=2.099832e+02 I=7.1774e-04
VALID t=2.900000e-08 V=+0.200000 | gate_W=0.0003 | r_ref=+208.8834 | R=2.116414e+02 I=9.5679e-04
VALID t=3.000000e-08 V=+0.250000 | gate_W=0.0009 | r_ref=+208.7275 | R=2.159112e+02 I=1.1953e-03
VALID t=3.100000e-08 V=+0.300000 | gate_W=0.0025 | r_ref=+208.2779 | R=2.266302e+02 I=1.4322e-03
VALID t=3.200000e-08 V=+0.350000 | gate_W=0.0067 | r_ref=+206.9891 | R=2.523734e+02 I=1.6641e-03
VALID t=3.300000e-08 V=+0.400000 | gate_W=0.0180 | r_ref=+203.3416 | R=3.095881e+02 I=1.8810e-03
VALID t=3.400000e-08 V=+0.450000 | gate_W=0.0474 | r_ref=+193.3383 | R=4.238108e+02 I=2.0558e-03
VALID t=3.500000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.9640 | R=6.331027e+02 I=2.1233e-03
VALID t=3.600000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.7752 | R=1.465607e+03 I=2.1131e-03
VALID t=3.700000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.6090 | R=1.465607e+03 I=2.1131e-03
VALID t=3.800000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.4625 | R=1.465607e+03 I=2.1131e-03
VALID t=3.900000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.3335 | R=1.465607e+03 I=2.1131e-03
VALID t=4.000000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.2199 | R=1.465607e+03 I=2.1131e-03
VALID t=4.100000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.1198 | R=1.465607e+03 I=2.1131e-03
VALID t=4.200000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+167.0316 | R=1.465607e+03 I=2.1131e-03
VALID t=4.300000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.9540 | R=1.465607e+03 I=2.1131e-03
VALID t=4.400000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.8856 | R=1.465607e+03 I=2.1131e-03
VALID t=4.500000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.8254 | R=1.465607e+03 I=2.1131e-03
VALID t=4.600000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.7723 | R=1.465607e+03 I=2.1131e-03
VALID t=4.700000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.7256 | R=1.465607e+03 I=2.1131e-03
VALID t=4.800000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.6844 | R=1.465607e+03 I=2.1131e-03
VALID t=4.900000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.6482 | R=1.465607e+03 I=2.1131e-03
VALID t=5.000000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.6162 | R=1.465607e+03 I=2.1131e-03
VALID t=5.100000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.5881 | R=1.465607e+03 I=2.1131e-03
VALID t=5.200000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.5633 | R=1.465607e+03 I=2.1131e-03
VALID t=5.300000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.5415 | R=1.465607e+03 I=2.1131e-03
VALID t=5.400000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.5223 | R=1.465607e+03 I=2.1131e-03
VALID t=5.500000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.5053 | R=1.465607e+03 I=2.1131e-03
VALID t=5.600000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.4904 | R=1.465607e+03 I=2.1131e-03
VALID t=5.700000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.4773 | R=1.465607e+03 I=2.1131e-03
VALID t=5.800000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.4657 | R=1.465607e+03 I=2.1131e-03
VALID t=5.900000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.4555 | R=1.465607e+03 I=2.1131e-03
VALID t=6.000000e-08 V=+0.500000 | gate_W=0.1192 | r_ref=+166.4466 | R=1.465607e+03 I=2.1131e-03
VALID t=6.100000e-08 V=+0.450000 | gate_W=0.0474 | r_ref=+160.4992 | R=5.771305e+02 I=2.0540e-03
VALID t=6.200000e-08 V=+0.400000 | gate_W=0.0180 | r_ref=+158.5279 | R=3.547619e+02 I=1.8806e-03
VALID t=6.300000e-08 V=+0.350000 | gate_W=0.0067 | r_ref=+157.8706 | R=2.650077e+02 I=1.6640e-03
VALID t=6.400000e-08 V=+0.300000 | gate_W=0.0025 | r_ref=+157.6517 | R=2.301947e+02 I=1.4322e-03
VALID t=6.500000e-08 V=+0.250000 | gate_W=0.0009 | r_ref=+157.5791 | R=2.169448e+02 I=1.1953e-03
