[DEBUG-VA-CONT] Continuous Simulation (V_READ_TH=0.6 기준)
Smooth Params: V_read=0.1, Hyst=0.1
LOG t=0.000000e+00 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.000733e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=1.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.001465e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=2.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.002198e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=3.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.002930e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=4.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.003663e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=5.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.004396e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=6.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.005128e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=7.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.005861e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=8.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.006593e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=9.000000e-09 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.007326e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=1.000000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.008058e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
